,routing_processing_time_s,local_processing_time_s
1115,0.5119,0.3019
1116,0.1399,0.77
1117,0.8385,1.0437
1118,0.3659,1.1961
1119,0.7838,1.0571
1120,0.1622,1.1892
1121,1.0624,0.1679
1122,0.4421,0.2841
1123,1.3104,0.3341
1124,0.1282,0.6681
1125,0.8149,0.9955
1126,0.3534,0.1113
1127,0.958,1.0606
1128,0.2063,0.9612
1129,1.6721,1.1092
1130,0.7397,0.348
1131,0.3402,1.5417
1132,0.168,0.8105
1133,1.276,0.5024
1134,0.3588,1.1283
1135,0.9789,0.788
1136,0.2742,0.3634
1137,1.5503,0.3096
1138,0.2992,0.9211
1139,0.3845,0.4935
1140,0.742,0.1452
1141,0.8395,0.4907
1142,0.3528,0.3551
1143,0.897,0.3443
1144,0.1649,0.6074
1145,1.1268,1.1369
1146,0.4882,1.1287
1147,0.5007,0.8823
1148,0.1705,0.3
1149,1.6965,0.8314
1150,0.7976,0.8718
1151,0.8085,0.8755
1152,0.2777,1.2658
1153,1.398,0.3038
1154,0.8127,0.8283
1155,0.5097,0.294
1156,0.1472,0.8168
1157,0.8397,1.0212
1158,0.4904,0.1369
1159,0.3629,1.0534
1160,0.1465,1.0996
